seed,episode,total_reward,steps,collision,completed_full_duration
4,26,37.1225,40,False,True
4,27,37.359,40,False,True
4,28,36.8047,40,False,True
4,29,37.2309,40,False,True
4,30,37.2294,40,False,True
4,31,37.2437,40,False,True
4,32,36.6196,40,False,True
4,33,37.5339,40,False,True
4,34,36.8293,40,False,True
4,35,36.5701,40,False,True
4,36,37.098,40,False,True
4,37,37.2004,40,False,True
4,38,37.1034,40,False,True
4,39,37.4609,40,False,True
4,40,9.2543,11,True,False
4,41,37.2681,40,False,True
4,42,37.3529,40,False,True
4,43,37.4241,40,False,True
4,44,37.4601,40,False,True
4,45,36.994,40,False,True
4,46,36.5948,40,False,True
4,47,36.3711,40,False,True
4,48,37.2428,40,False,True
4,49,37.2792,40,False,True
4,50,37.0281,40,False,True
4,51,36.662,40,False,True
4,52,37.3162,40,False,True
4,53,36.5761,40,False,True
4,54,37.2364,40,False,True
4,55,3.6802,5,True,False
4,56,3.8238,5,True,False
4,57,37.1644,40,False,True
4,58,37.3529,40,False,True
4,59,36.6125,40,False,True
4,60,37.279,40,False,True
4,61,37.0984,40,False,True
4,62,37.0984,40,False,True
4,63,36.709,40,False,True
4,64,37.1348,40,False,True
4,65,36.8231,40,False,True
4,66,37.2856,40,False,True
4,67,36.4439,40,False,True
4,68,37.0543,40,False,True
4,69,37.2674,40,False,True
4,70,28.1893,32,True,False
4,71,37.2735,40,False,True
4,72,37.5346,40,False,True
4,73,37.041,40,False,True
4,74,37.0005,40,False,True
4,75,37.6727,40,False,True
4,76,36.9516,40,False,True
4,77,36.9997,40,False,True
4,78,37.1287,40,False,True
4,79,36.6912,40,False,True
4,80,36.9876,40,False,True
4,81,36.9095,40,False,True
4,82,37.31,40,False,True
4,83,37.377,40,False,True
4,84,36.9711,40,False,True
4,85,37.2073,40,False,True
4,86,37.3282,40,False,True
4,87,37.1213,40,False,True
4,88,17.5464,20,True,False
4,89,36.8132,40,False,True
4,90,37.2365,40,False,True
4,91,37.2011,40,False,True
4,92,37.4194,40,False,True
4,93,37.3753,40,False,True
4,94,15.8191,18,True,False
4,95,37.2839,40,False,True
4,96,36.7644,40,False,True
4,97,36.6125,40,False,True
4,98,37.2009,40,False,True
4,99,37.3503,40,False,True
